name_1,name_2,oldest,oldest_index,youngest,youngest_index,ts_count,refs,rule,reference_id,reference_year
Toarcian,Lower Jurassic,Jurassic,17,Jurassic,17,0.0,401,6.6,401,2020
Unterjura,Lower Jurassic,Jurassic,17,Jurassic,17,0.0,401,6.6,407,2002
Aalenian,Middle Jurassic,Jurassic,17,Jurassic,17,0.0,401,6.6,401,2020
Bajocian,Middle Jurassic,Jurassic,17,Jurassic,17,0.0,401,6.6,401,2020
Bathonian,Middle Jurassic,Jurassic,17,Jurassic,17,0.0,401,6.6,401,2020
Callovian,Middle Jurassic,Jurassic,17,Jurassic,17,0.0,401,6.6,401,2020
Kimmeridgian,Upper Jurassic,Jurassic,17,Jurassic,17,0.0,401,6.6,401,2020
Oxfordian,Upper Jurassic,Jurassic,17,Jurassic,17,0.0,401,6.6,401,2020
Tithonian,Upper Jurassic,Jurassic,17,Jurassic,17,0.0,401,6.6,401,2020
Induan,Lower Triassic,Triassic,16,Triassic,16,0.0,401,6.6,401,2020
Olenekian,Lower Triassic,Triassic,16,Triassic,16,0.0,401,6.6,401,2020
Anisian,Middle Triassic,Triassic,16,Triassic,16,0.0,401,6.6,401,2020
Ladinian,Middle Triassic,Triassic,16,Triassic,16,0.0,401,6.6,401,2020
Carnian,Upper Triassic,Triassic,16,Triassic,16,0.0,401,6.6,401,2020
Norian,Upper Triassic,Triassic,16,Triassic,16,0.0,401,6.6,401,2020
Rhaetian,Upper Triassic,Triassic,16,Triassic,16,0.0,401,6.6,401,2020
Aquitanian,Miocene,Neogene,20,Neogene,20,0.0,401,6.6,401,2020
Burdigalian,Miocene,Neogene,20,Neogene,20,0.0,401,6.6,401,2020
Langhian,Miocene,Neogene,20,Neogene,20,0.0,401,6.6,401,2020
Messinian,Miocene,Neogene,20,Neogene,20,0.0,401,6.6,401,2020
Serravallian,Miocene,Neogene,20,Neogene,20,0.0,401,6.6,401,2020
Tortonian,Miocene,Neogene,20,Neogene,20,0.0,401,6.6,401,2020
Piacenzian,Pliocene,Neogene,20,Neogene,20,0.0,401,6.6,401,2020
Zanclean,Pliocene,Neogene,20,Neogene,20,0.0,401,6.6,401,2020
Lower Mississippian,Mississippian,Carboniferous,14,Carboniferous,14,0.0,401,6.6,401,2020
Middle Mississippian,Mississippian,Carboniferous,14,Carboniferous,14,0.0,401,6.6,401,2020
Upper Mississippian,Mississippian,Carboniferous,14,Carboniferous,14,0.0,401,6.6,401,2020
Lower Pennsylvanian,Pennsylvanian,Carboniferous,14,Carboniferous,14,0.0,401,6.6,401,2020
Middle Pennsylvanian,Pennsylvanian,Carboniferous,14,Carboniferous,14,0.0,401,6.6,401,2020
Upper Pennsylvanian,Pennsylvanian,Carboniferous,14,Carboniferous,14,0.0,401,6.6,401,2020
